date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:31	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:28%20GMT	https://demothemesflat.com/axies/assets/js/swiper.js	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/js/swiper.js	(from https://demothemesflat.com/axies/)
23:14:31	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:28%20GMT	https://demothemesflat.com/axies/assets/js/web3.min.js	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/js/web3.min.js	(from https://demothemesflat.com/axies/)
23:14:33	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:31%20GMT	https://demothemesflat.com/axies/assets/js/moralis.js	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/js/moralis.js	(from https://demothemesflat.com/axies/)
23:14:39	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:36%20GMT	https://demothemesflat.com/axies/assets/images/box-item/image-box-6.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/image-box-6.jpg	(from https://demothemesflat.com/axies/home2.html)
23:14:39	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:36%20GMT	https://demothemesflat.com/axies/assets/images/box-item/collection-item-4.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/collection-item-4.jpg	(from https://demothemesflat.com/axies/home3.html)
23:14:39	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:36%20GMT	https://demothemesflat.com/axies/assets/images/box-item/collection-item-1.png	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/collection-item-1.png	(from https://demothemesflat.com/axies/home3.html)
23:14:39	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:36%20GMT	https://demothemesflat.com/axies/assets/images/box-item/collection-item-10.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/collection-item-10.jpg	(from https://demothemesflat.com/axies/home2.html)
23:14:42	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:40%20GMT	https://demothemesflat.com/axies/assets/images/box-item/img-collection4.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/img-collection4.jpg	(from https://demothemesflat.com/axies/home3.html)
23:14:43	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:40%20GMT	https://demothemesflat.com/axies/assets/images/box-item/img-collection5.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/img-collection5.jpg	(from https://demothemesflat.com/axies/home3.html)
23:14:43	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:40%20GMT	https://demothemesflat.com/axies/assets/images/box-item/collection-item-5.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/collection-item-5.jpg	(from https://demothemesflat.com/axies/home3.html)
23:14:43	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:41%20GMT	https://demothemesflat.com/axies/assets/images/box-item/img_cart_item.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/img_cart_item.jpg	(from https://demothemesflat.com/axies/home4.html)
